"Date","SearchEngine","KeywordGroup","Website","Position"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","5"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","sankey","qlik","3"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","sankey","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","sankey","qlik","34"
"2014-07-02","Yahoo","interactive","qlik","3"
"2014-07-02","Yahoo","sankey","qlik","3"
"2014-07-02","Yahoo","interactive","qlik","2"
"2014-07-02","Yahoo","sankey","qlik","6"
"2014-07-02","Yahoo","sankey","qlik","5"
"2014-07-02","Yahoo","sankey","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","5"
"2014-07-02","Yahoo","sankey","qlik","6"
"2014-07-02","Yahoo","sankey","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","44"
"2014-07-02","Yahoo","sankey","qlik","2"
"2014-07-02","Yahoo","sankey","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","3"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","word cloud","qlik","3"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","word cloud","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","14"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","word cloud","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","14"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","word cloud","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","word cloud","qlik","7"
"2014-07-02","Yahoo","dashboard","qlik","4"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","word cloud","qlik","6"
"2014-07-02","Yahoo","word cloud","qlik","6"
"2014-07-02","Yahoo","dashboard","qlik","2"
